iter	Passed	Remaining
0	0	96
1	1	90
2	2	95
3	3	90
4	4	88
5	5	88
6	6	88
7	7	86
8	8	88
9	9	87
10	10	85
11	11	84
12	12	83
13	13	81
14	14	80
15	15	78
16	16	79
17	17	77
18	18	77
19	19	76
20	20	75
21	21	75
22	22	74
23	23	74
24	24	72
25	25	72
26	26	70
27	27	69
28	28	68
29	29	67
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	35	61
37	36	60
38	37	59
39	38	58
40	39	57
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	61	33
65	63	32
66	63	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	95	0
